DrainI(1),DrainV(1),SourceI(1),GateV(1),DrainI(2),DrainV(2),SourceI(2),GateV(2),DrainI(3),DrainV(3),SourceI(3),GateV(3),DrainI(4),DrainV(4),SourceI(4),GateV(4),DrainI(5),DrainV(5),SourceI(5),GateV(5),DrainI(6),DrainV(6),SourceI(6),GateV(6),DrainI(7),DrainV(7),SourceI(7),GateV(7),DrainI(8),DrainV(8),SourceI(8),GateV(8)
187.7488E-14,100.0055E-2,-189.5371E-14,-603.8863E-6,321.3132E-13,100.0058E-2,-327.0476E-13,-998.9966E-2,329.8025E-12,100.0058E-2,-329.3102E-12,-199.9256E-1,162.3008E-11,100.0053E-2,-162.5097E-11,-299.9613E-1,795.8289E-11,100.0061E-2,-795.4606E-11,-399.8969E-1,373.7001E-10,100.0061E-2,-373.5816E-10,-499.9603E-1,801.4224E-10,100.0060E-2,-800.7742E-10,-599.9661E-1,124.4539E-9,100.0052E-2,-124.3983E-9,-699.9238E-1
194.2958E-14,100.0055E-2,-191.7798E-14,-603.8863E-6,310.8221E-13,100.0057E-2,-309.5396E-13,-998.9925E-2,335.3272E-12,100.0056E-2,-334.8020E-12,-199.9252E-1,171.9156E-11,100.0052E-2,-171.9004E-11,-299.9607E-1,816.0750E-11,100.0057E-2,-815.2800E-11,-399.8973E-1,361.8781E-10,100.0051E-2,-361.9446E-10,-499.9603E-1,812.1709E-10,100.0059E-2,-811.5929E-10,-599.9668E-1,127.1178E-9,100.0052E-2,-127.0517E-9,-699.9238E-1
193.6904E-14,950.0219E-3,-189.6798E-14,-603.8863E-6,288.7861E-13,950.0253E-3,-291.4518E-13,-998.9935E-2,305.4414E-12,950.0256E-3,-305.9762E-12,-199.9252E-1,156.6254E-11,950.0216E-3,-156.3347E-11,-299.9609E-1,740.7043E-11,950.0208E-3,-740.4714E-11,-399.8975E-1,363.5394E-10,950.0339E-3,-363.2814E-10,-499.9598E-1,806.3789E-10,950.0231E-3,-805.6826E-10,-599.9655E-1,126.1153E-9,950.0243E-3,-126.0524E-9,-699.9249E-1
162.7807E-14,900.0435E-3,-158.2427E-14,-492.7069E-6,247.8029E-13,900.0460E-3,-248.2406E-13,-998.9875E-2,284.9282E-12,900.0462E-3,-285.0027E-12,-199.9253E-1,139.8611E-11,900.0450E-3,-139.5448E-11,-299.9610E-1,713.8074E-11,900.0492E-3,-713.1088E-11,-399.8978E-1,334.3580E-10,900.0294E-3,-334.4275E-10,-499.9611E-1,801.1315E-10,900.0440E-3,-800.4436E-10,-599.9658E-1,113.2343E-9,900.0465E-3,-113.1692E-9,-699.9248E-1
153.4130E-14,850.0335E-3,-149.8587E-14,-674.6361E-6,225.4546E-13,850.0357E-3,-223.2686E-13,-998.9935E-2,262.6036E-12,850.0381E-3,-263.3575E-12,-199.9247E-1,128.9948E-11,850.0326E-3,-128.7433E-11,-299.9614E-1,656.0005E-11,850.0334E-3,-655.5879E-11,-399.8981E-1,339.7615E-10,850.0413E-3,-339.7336E-10,-499.9603E-1,788.2515E-10,850.0291E-3,-787.6071E-10,-599.9664E-1,114.7187E-9,850.0348E-3,-114.6485E-9,-699.9241E-1
152.7988E-14,800.0444E-3,-153.0264E-14,-624.0988E-6,203.4709E-13,800.0472E-3,-205.3842E-13,-998.9945E-2,248.8006E-12,800.0516E-3,-250.2488E-12,-199.9255E-1,121.1550E-11,800.0421E-3,-120.8938E-11,-299.9618E-1,658.5879E-11,800.0461E-3,-658.3685E-11,-399.8973E-1,324.7749E-10,800.0552E-3,-324.8969E-10,-499.9601E-1,775.5909E-10,800.0411E-3,-774.8702E-10,-599.9665E-1,111.8870E-9,800.0497E-3,-111.8239E-9,-699.9235E-1
143.2988E-14,750.0482E-3,-143.3349E-14,-523.0280E-6,190.7242E-13,750.0507E-3,-190.2810E-13,-998.9854E-2,223.9690E-12,750.0529E-3,-225.4710E-12,-199.9247E-1,112.7135E-11,750.0467E-3,-112.4162E-11,-299.9614E-1,617.4528E-11,750.0523E-3,-617.0389E-11,-399.8980E-1,315.4836E-10,750.0529E-3,-315.2898E-10,-499.9611E-1,713.5804E-10,750.0471E-3,-712.9636E-10,-599.9656E-1,109.9061E-9,750.0608E-3,-109.8465E-9,-699.9249E-1
116.0241E-14,700.0144E-3,-116.2966E-14,-725.1725E-6,176.3457E-13,700.0163E-3,-175.6343E-13,-998.9864E-2,189.8571E-12,700.0143E-3,-189.3488E-12,-199.9244E-1,104.0164E-11,700.0147E-3,-103.7037E-11,-299.9608E-1,584.6458E-11,700.0160E-3,-584.0920E-11,-399.8977E-1,306.3777E-10,700.0328E-3,-306.3333E-10,-499.9612E-1,696.1223E-10,700.0108E-3,-695.5509E-10,-599.9654E-1,107.1965E-9,700.0111E-3,-107.1366E-9,-699.9238E-1
937.6527E-15,650.0292E-3,-943.0879E-15,-664.5294E-6,153.0621E-13,650.0309E-3,-155.7017E-13,-998.9875E-2,169.6167E-12,650.0301E-3,-171.2603E-12,-199.9253E-1,908.9300E-12,650.0260E-3,-906.2119E-12,-299.9604E-1,550.4259E-11,650.0300E-3,-550.3549E-11,-399.8972E-1,304.5688E-10,650.0226E-3,-304.4931E-10,-499.9609E-1,661.2762E-10,650.0283E-3,-660.6644E-10,-599.9653E-1,109.6376E-9,650.0354E-3,-109.5939E-9,-699.9240E-1
762.5981E-15,600.0254E-3,-779.9973E-15,-543.2414E-6,133.8682E-13,600.0265E-3,-134.3855E-13,-998.9824E-2,156.0062E-12,600.0268E-3,-156.5789E-12,-199.9249E-1,911.7493E-12,600.0245E-3,-908.8530E-12,-299.9606E-1,504.2840E-11,600.0245E-3,-503.8154E-11,-399.8974E-1,285.6165E-10,600.0249E-3,-285.4391E-10,-499.9603E-1,629.3767E-10,600.0266E-3,-628.7982E-10,-599.9662E-1,104.9993E-9,600.0327E-3,-104.9308E-9,-699.9244E-1
